category,horizon,n,raw_ret_pct,demean_ret_pct,beat_peers_pct,hit_raw_pct,t_demean
bear_div,5,4495,0.052,-0.181,46.3,53.1,-3.45
bear_div,10,4483,0.159,-0.162,48.1,53.1,-2.31
bear_div,20,4458,0.455,0.004,49.0,54.7,0.04
bear_div,60,4266,1.462,0.056,46.5,55.3,0.30
bull_div,5,3229,0.271,-0.062,48.2,53.5,-0.92
bull_div,10,3204,0.494,-0.173,46.6,54.4,-1.86
bull_div,20,3152,1.015,-0.516,44.7,56.1,-4.11
bull_div,60,3061,2.483,-1.030,46.2,57.6,-4.44
confirm_up,5,7671,0.341,0.086,48.9,54.9,2.41
confirm_up,10,7630,0.584,0.110,49.0,55.6,2.19
confirm_up,20,7554,0.971,0.252,48.2,55.8,3.53
confirm_up,60,7281,2.444,0.199,47.7,57.2,1.69
confirm_dn,5,6729,0.265,0.012,50.4,54.5,0.36
confirm_dn,10,6701,0.538,-0.023,49.6,55.4,-0.48
confirm_dn,20,6612,1.256,-0.121,47.7,57.2,-1.80
confirm_dn,60,6402,3.431,0.286,49.3,59.8,2.13
neutral,5,49723,0.219,0.004,48.9,53.7,0.26
neutral,10,49509,0.443,0.010,48.7,54.7,0.52
neutral,20,49111,0.904,0.008,48.5,55.6,0.29
neutral,60,47317,2.861,-0.008,47.9,59.6,-0.15
