agg_window,category,horizon,n,exspy_pct,beat_pct,t
5,bear_div,5,3643,-0.211,47.0,-3.49
5,bear_div,10,3621,-0.156,46.8,-1.87
5,bear_div,20,3591,-0.269,44.1,-2.38
5,bear_div,60,3438,-0.057,43.4,-0.26
5,bull_div,5,2982,-0.046,47.1,-0.63
5,bull_div,10,2961,-0.159,47.1,-1.58
5,bull_div,20,2918,-0.226,47.5,-1.75
5,bull_div,60,2803,-0.733,44.1,-3.02
5,confirm_dn,5,4839,0.072,49.2,1.55
5,confirm_dn,10,4810,0.138,49.2,2.10
5,confirm_dn,20,4744,0.365,50.0,4.06
5,confirm_dn,60,4556,0.244,45.7,1.34
5,confirm_up,5,5094,0.054,49.4,1.13
5,confirm_up,10,5077,0.179,50.1,2.66
5,confirm_up,20,5017,0.136,48.0,1.34
5,confirm_up,60,4839,-0.050,45.2,-0.31
10,bear_div,5,3989,-0.049,48.4,-0.86
10,bear_div,10,3976,-0.043,47.5,-0.58
10,bear_div,20,3939,0.009,45.4,0.08
10,bear_div,60,3793,-0.109,42.4,-0.53
10,bull_div,5,3105,-0.126,47.2,-1.83
10,bull_div,10,3079,-0.190,48.3,-1.97
10,bull_div,20,3041,-0.196,47.7,-1.54
10,bull_div,60,2927,-0.516,45.5,-2.17
10,confirm_dn,5,5751,0.063,50.1,1.51
10,confirm_dn,10,5727,0.101,50.5,1.79
10,confirm_dn,20,5665,0.169,49.3,2.15
10,confirm_dn,60,5439,0.210,46.6,1.33
10,confirm_up,5,6133,0.134,49.8,3.13
10,confirm_up,10,6098,0.167,49.0,2.74
10,confirm_up,20,6037,0.124,47.9,1.41
10,confirm_up,60,5843,-0.008,45.9,-0.06
20,bear_div,5,4496,-0.215,45.7,-3.99
20,bear_div,10,4483,-0.270,45.5,-3.75
20,bear_div,20,4461,-0.269,46.4,-2.68
20,bear_div,60,4276,-0.779,40.9,-4.08
20,bull_div,5,3224,-0.103,47.6,-1.46
20,bull_div,10,3197,-0.193,46.8,-1.99
20,bull_div,20,3143,-0.426,45.0,-3.29
20,bull_div,60,3051,-1.180,43.9,-4.88
20,confirm_dn,5,6710,0.082,51.2,2.25
20,confirm_dn,10,6681,0.072,50.5,1.44
20,confirm_dn,20,6594,-0.025,48.1,-0.36
20,confirm_dn,60,6377,-0.073,45.6,-0.54
20,confirm_up,5,7669,0.051,48.0,1.33
20,confirm_up,10,7632,0.017,47.5,0.31
20,confirm_up,20,7557,0.051,47.1,0.67
20,confirm_up,60,7284,-0.215,45.3,-1.74
