month,MOM_only,FLOW_only,MOM_plus_FLOW_filter,CONFIRM_flowxprice
2022-01,0.010438,-0.016358,-0.007849,-0.010317
2022-02,0.004867,0.038963,0.015443,-0.007487
2022-03,-0.014703,0.004940,-0.017653,0.004796
2022-04,0.010046,-0.008018,-0.001953,0.005099
2022-05,0.030985,-0.037993,0.023751,-0.017977
2022-06,0.007494,-0.034120,0.008014,0.017076
2022-07,0.005533,-0.013007,-0.000842,-0.009038
2022-08,-0.018831,-0.006638,-0.012365,-0.013649
2022-09,-0.011038,-0.018096,-0.026401,0.008868
2022-10,0.021123,0.013240,0.010769,-0.006798
2022-11,-0.002908,-0.004317,-0.017394,-0.009316
2022-12,-0.003722,-0.002022,0.001758,0.011855
2023-01,0.002084,-0.024244,-0.006751,0.010765
2023-02,0.009407,-0.000002,0.006352,-0.014071
2023-03,0.005272,-0.037088,-0.007220,0.007929
2023-04,0.001199,0.003616,0.000078,0.012426
2023-05,0.001139,0.014295,0.011349,0.007168
2023-06,-0.005848,0.026701,0.004246,0.006277
2023-07,-0.000821,-0.005871,-0.004565,0.004700
2023-08,0.007123,0.021994,0.020101,-0.008287
2023-09,-0.005344,-0.011412,-0.008306,0.020388
2023-10,0.000250,-0.028731,-0.036356,0.008025
2023-11,-0.000054,-0.003296,0.002865,0.014097
2023-12,0.013465,0.012368,0.008970,0.020778
2024-01,-0.016392,-0.000179,-0.023072,-0.014208
2024-02,0.010076,-0.004905,0.021234,-0.001796
2024-03,0.003191,-0.005866,0.010652,0.001005
2024-04,0.001992,0.001236,0.008008,0.012669
2024-05,-0.010495,-0.009905,-0.005524,-0.006478
2024-06,-0.000519,-0.011300,-0.009710,-0.016004
2024-07,-0.000682,-0.005092,0.005270,0.033480
2024-08,-0.008372,-0.006570,-0.006899,-0.002498
2024-09,-0.001518,-0.009436,0.000607,0.002972
2024-10,-0.016262,0.004646,-0.009794,-0.014849
2024-11,-0.007099,0.005523,-0.008020,0.007085
2024-12,0.001186,-0.002611,-0.014074,0.007339
2025-01,-0.001147,-0.017424,-0.015092,-0.004726
2025-02,-0.002478,-0.031150,-0.029739,-0.007529
2025-03,0.005390,-0.009704,0.005562,0.025090
2025-04,0.003378,-0.023399,-0.001761,-0.008847
2025-05,0.007315,0.008254,-0.002991,0.010125
2025-06,-0.008593,-0.019325,-0.010378,-0.023377
2025-07,-0.013100,0.015825,-0.012686,0.008919
2025-08,-0.001310,-0.012572,-0.006579,0.031762
2025-09,0.012920,0.000589,-0.007169,0.003009
2025-10,0.009850,0.022579,0.012141,-0.004471
2025-11,0.000116,-0.000045,0.004879,-0.004833
2025-12,0.000521,0.002771,0.011643,-0.002590
2026-01,-0.002238,0.055316,0.016674,0.003929
2026-02,0.015494,0.035069,0.019738,0.003255
2026-03,-0.002070,0.015915,0.020728,0.002293
2026-04,-0.018709,-0.036791,-0.041363,0.007062
2026-05,0.014730,0.049061,0.033184,0.041555
2026-06,0.006498,0.018450,0.040000,-0.009448
2026-07,-0.005432,0.000325,-0.006058,-0.013130
