month,LS,long_excess,short_excess,univ,spy
2022-01,-0.010317,-0.009586,-0.000592,-0.015038,-0.004073
2022-02,-0.007487,-0.019285,0.012009,0.009238,-0.029517
2022-03,0.004796,0.004300,0.000533,0.036398,0.034377
2022-04,0.005099,-0.002925,0.008077,-0.082491,-0.087769
2022-05,-0.017977,0.004090,-0.022011,0.001941,0.002257
2022-06,0.017076,0.011468,0.005516,-0.109640,-0.086407
2022-07,-0.009038,-0.000204,-0.008826,0.095832,0.092087
2022-08,-0.013649,-0.012300,-0.001449,-0.030878,-0.040802
2022-09,0.008868,0.011068,-0.002246,-0.098901,-0.096159
2022-10,-0.006798,0.005878,-0.012655,0.075783,0.081276
2022-11,-0.009316,0.001438,-0.010795,0.057769,0.055592
2022-12,0.011855,-0.000916,0.012759,-0.061271,-0.061936
2023-01,0.010765,-0.000629,0.011453,0.086271,0.062887
2023-02,-0.014071,-0.006827,-0.007411,-0.034122,-0.025143
2023-03,0.007929,-0.004834,0.012835,0.005500,0.033135
2023-04,0.012426,0.014407,-0.001982,-0.003012,0.015975
2023-05,0.007168,-0.006080,0.013326,-0.020397,0.004616
2023-06,0.006277,0.003034,0.003234,0.068651,0.060859
2023-07,0.004700,-0.001253,0.005951,0.048017,0.032733
2023-08,-0.008287,0.005345,-0.013580,-0.039136,-0.016252
2023-09,0.020388,0.021436,-0.001042,-0.054424,-0.050783
2023-10,0.008025,0.005512,0.002490,-0.036212,-0.021709
2023-11,0.014097,0.005248,0.008800,0.087913,0.091344
2023-12,0.020778,0.006669,0.014041,0.065498,0.041433
2024-01,-0.014208,-0.012631,-0.001603,-0.021144,0.015926
2024-02,-0.001796,0.006660,-0.008404,0.043660,0.052187
2024-03,0.001005,0.010351,-0.009287,0.042016,0.029503
2024-04,0.012669,0.007786,0.004812,-0.045674,-0.040320
2024-05,-0.006478,-0.003183,-0.003314,0.048187,0.050580
2024-06,-0.016004,-0.009083,-0.007011,-0.009483,0.031951
2024-07,0.033480,0.017707,0.015574,0.033948,0.012109
2024-08,-0.002498,-0.004595,0.002126,0.004107,0.023366
2024-09,0.002972,-0.003848,0.006844,0.026551,0.017882
2024-10,-0.014849,-0.002614,-0.012288,-0.008178,-0.008924
2024-11,0.007085,0.003819,0.003242,0.069241,0.059634
2024-12,0.007339,0.000965,0.006361,-0.057366,-0.027334
2025-01,-0.004726,-0.002701,-0.002040,0.040932,0.026856
2025-02,-0.007529,0.000978,-0.008513,-0.021376,-0.012695
2025-03,0.025090,0.003542,0.021479,-0.042125,-0.058551
2025-04,-0.008847,-0.009244,0.000378,-0.011984,-0.008670
2025-05,0.010125,-0.001957,0.012111,0.063103,0.062845
2025-06,-0.023377,-0.017877,-0.005676,0.053699,0.048287
2025-07,0.008919,0.005298,0.003555,0.015683,0.023031
2025-08,0.031762,0.015361,0.016162,0.043479,0.020520
2025-09,0.003009,0.016574,-0.013358,0.037287,0.032757
2025-10,-0.004471,-0.002845,-0.001550,0.012994,0.023837
2025-11,-0.004833,0.001375,-0.006227,0.008720,0.001950
2025-12,-0.002590,0.003600,-0.006141,-0.002396,-0.002151
2026-01,0.003929,0.001401,0.002555,0.054896,0.014738
2026-02,0.003255,0.013069,-0.009764,0.021668,-0.008642
2026-03,0.002293,0.012823,-0.010395,-0.050468,-0.051969
2026-04,0.007062,0.024504,-0.017087,0.080198,0.105053
2026-05,0.041555,-0.010282,0.052349,0.040254,0.052626
2026-06,-0.009448,0.004088,-0.013529,-0.019930,-0.012836
2026-07,-0.013130,0.006573,-0.019648,-0.007643,0.000857
